,countyFIPS,CountyName,State,Deaths,Population,DeathsPerMillion
664,17109,McDonough County,IL,15,29682,505
665,17111,McHenry County,IL,91,307774,295
666,17113,McLean County,IL,13,171517,75
667,17115,Macon County,IL,21,104009,201
668,17117,Macoupin County,IL,3,44926,66
669,17119,Madison County,IL,66,262966,250
670,17121,Marion County,IL,0,37205,0
671,17123,Marshall County,IL,0,11438,0
672,17125,Mason County,IL,0,13359,0
673,17127,Massac County,IL,0,13772,0
674,17129,Menard County,IL,0,12196,0
675,17131,Mercer County,IL,0,15437,0
676,17133,Monroe County,IL,12,34637,346
677,17135,Montgomery County,IL,1,28414,35
678,17137,Morgan County,IL,3,33658,89
679,17139,Moultrie County,IL,0,14501,0
680,17141,Ogle County,IL,4,50643,78
681,17143,Peoria County,IL,23,179179,128
682,17145,Perry County,IL,0,20916,0
683,17147,Piatt County,IL,0,16344,0
684,17149,Pike County,IL,0,15561,0
685,17151,Pope County,IL,0,4177,0
686,17153,Pulaski County,IL,0,5335,0
687,17155,Putnam County,IL,0,5739,0
688,17157,Randolph County,IL,7,31782,220
689,17159,Richland County,IL,0,15513,0
690,17161,Rock Island County,IL,28,141879,197
691,17163,St. Clair County,IL,125,259686,481
692,17165,Saline County,IL,0,23491,0
693,17167,Sangamon County,IL,31,194672,159
694,17169,Schuyler County,IL,0,6768,0
695,17171,Scott County,IL,0,4951,0
696,17173,Shelby County,IL,1,21634,46
697,17175,Stark County,IL,0,5342,0
698,17177,Stephenson County,IL,5,44498,112
699,17179,Tazewell County,IL,7,131803,53
700,17181,Union County,IL,18,16653,1080
701,17183,Vermilion County,IL,2,75758,26
702,17185,Wabash County,IL,0,11520,0
703,17187,Warren County,IL,0,16844,0
704,17189,Washington County,IL,0,13887,0
705,17191,Wayne County,IL,1,16215,61
706,17193,White County,IL,0,13537,0
707,17195,Whiteside County,IL,15,55175,271
708,17197,Will County,IL,310,690743,448
709,17199,Williamson County,IL,4,66597,60
710,17201,Winnebago County,IL,82,282572,290
711,17203,Woodford County,IL,2,38459,52
713,18001,Adams County,IN,1,35777,27
714,18003,Allen County,IN,91,379299,239
715,18005,Bartholomew County,IN,43,83779,513
716,18007,Benton County,IN,0,8748,0
717,18009,Blackford County,IN,2,11758,170
718,18011,Boone County,IN,40,67843,589
719,18013,Brown County,IN,1,15092,66
720,18015,Carroll County,IN,2,20257,98
721,18017,Cass County,IN,9,37689,238
722,18019,Clark County,IN,43,118302,363
723,18021,Clay County,IN,3,26225,114
724,18023,Clinton County,IN,1,32399,30
725,18025,Crawford County,IN,0,10577,0
726,18027,Daviess County,IN,16,33351,479
727,18029,Dearborn County,IN,22,49458,444
728,18031,Decatur County,IN,32,26559,1204
729,18033,DeKalb County,IN,3,43475,69
730,18035,Delaware County,IN,46,114135,403
731,18037,Dubois County,IN,6,42736,140
732,18039,Elkhart County,IN,38,206341,184
733,18041,Fayette County,IN,7,23102,303
734,18043,Floyd County,IN,43,78522,547
735,18045,Fountain County,IN,2,16346,122
736,18047,Franklin County,IN,8,22758,351
737,18049,Fulton County,IN,1,19974,50
738,18051,Gibson County,IN,2,33659,59
739,18053,Grant County,IN,25,65769,380
740,18055,Greene County,IN,29,31922,908
741,18057,Hamilton County,IN,97,338011,286
742,18059,Hancock County,IN,32,78168,409
743,18061,Harrison County,IN,22,40515,543
744,18063,Hendricks County,IN,94,170311,551
745,18065,Henry County,IN,15,47972,312
746,18067,Howard County,IN,48,82544,581
747,18069,Huntington County,IN,2,36520,54
748,18071,Jackson County,IN,3,44231,67
749,18073,Jasper County,IN,1,33562,29
750,18075,Jay County,IN,0,20436,0
751,18077,Jefferson County,IN,1,32308,30
752,18079,Jennings County,IN,9,27735,324
753,18081,Johnson County,IN,117,158167,739
754,18083,Knox County,IN,0,36594,0
755,18085,Kosciusko County,IN,2,79456,25
756,18087,LaGrange County,IN,4,39614,100
757,18089,Lake County,IN,234,485493,481
758,18091,LaPorte County,IN,25,109888,227
759,18093,Lawrence County,IN,24,45370,528
760,18095,Madison County,IN,63,129569,486
761,18097,Marion County,IN,667,964582,691
762,18099,Marshall County,IN,3,46258,64
763,18101,Martin County,IN,0,10255,0
764,18103,Miami County,IN,2,35516,56
765,18105,Monroe County,IN,26,148431,175
766,18107,Montgomery County,IN,19,38338,495
767,18109,Morgan County,IN,30,70489,425
768,18111,Newton County,IN,10,13984,715
769,18113,Noble County,IN,27,47744,565
770,18115,Ohio County,IN,0,5875,0
771,18117,Orange County,IN,23,19646,1170
772,18119,Owen County,IN,1,20799,48
773,18121,Parke County,IN,0,16937,0
774,18123,Perry County,IN,3,19169,156
775,18125,Pike County,IN,0,12389,0
776,18127,Porter County,IN,36,170389,211
777,18129,Posey County,IN,0,25427,0
778,18131,Pulaski County,IN,1,12353,80
779,18133,Putnam County,IN,8,37576,212
780,18135,Randolph County,IN,3,24665,121
781,18137,Ripley County,IN,7,28324,247
782,18139,Rush County,IN,3,16581,180
783,18141,St. Joseph County,IN,56,271826,206
784,18143,Scott County,IN,6,23873,251
